1、装备的PK目标爆率 修改为 击杀爆率，使用百分比计算，现在不止对人有效，对怪物也有效。
   公式：爆率 = 原爆率 + ((击杀爆率 - 防爆) / 100 * 原爆率);
   注：爆率/原爆率/击杀爆/防爆 都是百分比， 
   比如原来爆率是10%，击杀爆率 50%，防爆0%，根据公式：10 + (( 50 - 0) / 100 * 10) = 15，最终爆率就是15%
   比如原来爆率是10%，击杀爆率100%，防爆0%，根据公式：10 + ((100 - 0) / 100 * 10) = 20，最终爆率就是20%

2、防爆 修改为使用百分比计算

3、改善英雄类怪物的灵敏度，RECE=61人形怪支持连击

4、改进刷怪机制（复活模式），大幅度提高性能，减少服务器内存碎片，更准确的刷怪时间

5、HGE客户端优化，即使用火墙同时烧2000怪，CPU基本也保持为0~1%

6、大量性能优化，在服务器硬件配备够好情况下，经测试，万人在线不卡（3000人同时参与沙战不卡）

MonSpAbilList 增加 防红毒 防绿毒 破盾
菜单-怪物设置-基本参数：增加怪物死亡重新计算刷新时间 开关，默认关闭
菜单-物品装备-基本设置：增加装备持久0是否消失 开关，选择不消失则属性失效
修改赋予称号时自动激活



HGE客户端支持怪物：（附加）
瘟疫毒牙;81;124;360;50;1;30;16000;6000;0;80;80;88;99;0;0;30;30;1000;1;0;1250;0;0;0;
瘟疫金蟾;81;124;361;50;1;30;16000;6000;0;80;80;88;99;0;0;30;30;1000;1;0;1250;0;0;0;
瘟疫鱼人;81;124;362;50;1;30;16000;6000;0;80;80;88;99;0;0;30;30;1000;1;0;1250;0;0;0;
瘟疫蛋;115;124;363;50;1;30;16000;6000;0;80;80;88;99;0;0;30;30;1000;1;0;1250;0;0;0;
瘟疫使者;81;124;364;50;1;30;16000;6000;0;80;80;88;99;0;0;30;30;1000;1;0;1250;0;0;0;
瘟疫长老;81;124;365;50;1;30;16000;6000;0;80;80;88;99;0;0;30;30;1000;1;0;1250;0;0;0;
瘟疫统帅;81;124;366;50;1;30;16000;6000;0;80;80;88;99;0;0;30;30;1000;1;0;1250;0;0;0;
醉拳熊猫;210;124;367;50;1;30;16000;6000;0;80;80;88;99;0;0;30;30;1000;1;0;1250;0;0;0;
邪恶沙虫;127;125;370;50;1;30;16000;6000;0;80;80;88;99;0;0;30;30;1000;1;0;1250;0;0;0;
秃鹫;81;125;371;50;1;30;16000;6000;0;80;80;88;99;0;0;30;30;1000;1;0;1250;0;0;0;
掷刀兽人;87;125;372;50;1;30;16000;6000;0;80;80;88;99;0;0;30;30;1000;1;0;1050;0;0;0;
矿工兽人;81;125;373;50;1;30;16000;6000;0;80;80;88;99;0;0;30;30;1000;1;0;1050;0;0;0;
梭镖兽人;87;125;374;50;1;30;16000;6000;0;80;80;88;99;0;0;30;30;1000;1;0;1050;0;0;0;
大刀兽人;128;125;375;50;1;30;16000;6000;0;80;80;88;99;0;0;30;30;1000;1;0;1050;0;0;0;
训狼兽人;81;125;376;50;1;30;16000;6000;0;80;80;88;99;0;0;30;30;1000;1;0;1050;0;0;0;
坐骑兽人;81;125;377;50;1;30;16000;6000;0;80;80;88;99;0;0;30;30;1000;1;0;1050;0;0;0;
巫师兽人;129;125;378;50;1;30;16000;6000;0;80;80;88;99;0;0;30;30;2000;1;0;2050;0;0;0;
厨师兽人;81;125;379;50;1;30;16000;6000;0;80;80;88;99;0;0;30;30;1000;1;0;1050;0;0;0;
流星锤兽人;159;125;3710;50;1;30;16000;6000;0;80;80;88;99;0;0;30;30;1000;1;0;1050;0;0;0;
m38_11;160;125;3711;50;1;30;16000;6000;0;80;80;88;99;0;0;30;30;1000;1;0;1050;0;0;0;
m38_12;160;125;3712;50;1;30;16000;6000;0;80;80;88;99;0;0;30;30;1000;1;0;1050;0;0;0;
m38_13;160;125;3713;50;1;30;16000;6000;0;80;80;88;99;0;0;30;30;1000;1;0;1050;0;0;0;


